Year,Week_Number,mean_return,volatility
2018,00,0.43,0.30653221690386806
2018,01,0.3276,0.3637888123623375
2018,02,0.22449999999999998,0.5940878161798416
2018,03,0.4372,0.523078101243017
2018,04,-0.7858,0.8887399507167437
2018,05,-1.0008000000000001,2.8715359478857305
2018,06,0.8744,0.6792763060787561
2018,07,0.15025000000000002,1.0175658455353147
2018,08,-0.40800000000000003,1.1705887407625275
2018,09,0.7192000000000001,0.7206467234366641
2018,10,-0.2572,0.3119081595598294
2018,11,-1.2012,1.1697357393873198
2018,12,0.5045000000000001,1.9219196133033245
2018,13,-0.2492,1.7836652432561442
2018,14,0.4178,0.8567553326358699
2018,15,0.1126,0.8351340012237558
2018,16,-0.0007999999999999729,0.8542196438855758
2018,17,-0.037600000000000036,0.835611333096913
2018,18,0.509,0.4246109984444586
2018,19,-0.11079999999999998,0.40695171703778327
2018,20,0.06120000000000001,0.4467535114579403
2018,21,0.13825000000000004,1.2063300750623769
2018,22,0.3338,0.3392914676203927
2018,23,0.0134,0.2318842383604371
2018,24,-0.1726,0.3520174711573276
2018,25,-0.2504,0.8095006485482269
2018,26,0.38075,0.5692377212846433
2018,27,0.30300000000000005,0.6789340910574457
2018,28,0.007000000000000004,0.30451847234609597
2018,29,0.12539999999999998,0.6021343703858799
2018,30,0.15539999999999998,0.47510135760698474
2018,31,-0.030400000000000003,0.42083286468620773
2018,32,0.1356,0.6692117004356694
2018,33,0.1718,0.29026660159239814
2018,34,0.19480000000000003,0.47173795692100084
2018,35,-0.23399999999999999,0.060986337267730166
2018,36,0.22719999999999999,0.24042815974839551
2018,37,0.168,0.5266402946983834
2018,38,-0.087,0.24918366720152427
2018,39,-0.19960000000000003,0.46171452218876546
2018,40,-0.8251999999999999,1.8318451626706882
2018,41,0.02899999999999997,1.3400544765045934
2018,42,-0.7906,1.7908697049199307
2018,43,0.4936,0.9884608237052189
2018,44,0.43339999999999995,1.1551784710597752
2018,45,-0.2872,1.0887036786931512
2018,46,-0.9672499999999999,1.017496396390015
2018,47,0.929,1.0156426536927246
2018,48,-1.0979999999999999,2.0698019228902074
2018,49,-0.23260000000000006,0.9258783937429365
2018,50,-1.4494,0.7827086303344304
2018,51,0.7622499999999999,3.203395737338738
2018,52,0.876,0.0
2019,00,0.35600000000000004,2.8762913621537023
2019,01,0.5174000000000001,0.35715864822232707
2019,02,0.5736,0.7820705211168619
2019,03,-0.06075,0.9260390110573096
2019,04,0.3232,0.9154336131036482
2019,05,0.03200000000000001,0.6337535009765232
2019,06,0.5067999999999999,0.6549043441602751
2019,07,0.15975,0.39991196947995106
2019,08,0.0918,0.31912568057115054
2019,09,-0.4286,0.29167927591791637
2019,10,0.5838,0.5538259654440192
2019,11,-0.1418,1.1294605792146977
2019,12,0.2314,0.5263675521914322
2019,13,0.4282,0.4531420307144328
2019,14,0.11080000000000001,0.44213425562831027
2019,15,-0.011749999999999997,0.1887350435575404
2019,16,0.2334,0.45097206121887423
2019,17,0.04379999999999999,0.6301307007280315
2019,18,-0.4044,0.7912144462786306
2019,19,-0.1488,1.4697924003069276
2019,20,-0.2122,0.8161560512549055
2019,21,-0.669,0.6871511236014002
2019,22,0.8867999999999998,0.8689279026478549
2019,23,0.11200000000000002,0.301146143923511
2019,24,0.4242,0.5436107982739121
2019,25,-0.06659999999999999,0.5823051605472855
2019,26,0.4635,0.4780972704377217
2019,27,0.1472,0.4161222176236208
2019,28,-0.23200000000000004,0.4307087182772134
2019,29,0.3246,0.4855922157530946
2019,30,-0.629,0.39919606711489536
2019,31,-0.05300000000000007,1.956418539065708
2019,32,-0.17579999999999996,1.919420928301033
2019,33,-0.2694,1.4949261854687006
2019,34,0.5302,0.7245034161410145
2019,35,0.47825,0.8898094833539743
2019,36,0.2036,0.32609707143732525
2019,37,-0.09519999999999999,0.29221259384222303
2019,38,-0.19260000000000002,0.5280930789169651
2019,39,-0.06380000000000004,1.3443205346940141
2019,40,0.13599999999999995,1.110948918717688
2019,41,0.11499999999999999,0.5547715746142731
2019,42,0.24299999999999997,0.3710518831646054
2019,43,0.30019999999999997,0.4719313509399434
2019,44,0.1826,0.21946138612521338
2019,45,0.18439999999999998,0.3381941749941888
2019,46,-0.053200000000000004,0.22680101410708023
2019,47,0.26925,0.48260706929481806
2019,48,0.03799999999999999,0.7762860297596498
2019,49,0.156,0.45187387620883773
2019,50,0.31260000000000004,0.29318901752964754
2019,51,0.16575,0.2563687123396041
2019,52,-0.15400000000000003,0.5614427842621188
2020,00,0.08900000000000002,1.1964246737676385
2020,01,0.20460000000000003,0.458675593420884
2020,02,0.38099999999999995,0.3907249672083933
2020,03,-0.2395,0.45190891412613965
2020,04,-0.4258,1.242150836251379
2020,05,0.6449999999999999,0.7945926629412079
2020,06,0.3234,0.3594388682377018
2020,07,-0.30525,0.6197200308741574
2020,08,-2.3251999999999997,1.8460443385791143
2020,09,0.1388000000000001,3.8178723394058114
2020,10,-1.7056,8.08723375450469
2020,11,-2.9406,6.121423796797606
2020,12,2.1719999999999997,5.249840473766799
2020,13,-0.376,3.151610461335601
2020,14,2.9245,2.857949439720724
2020,15,0.619,2.217155722992862
2020,16,-0.23840000000000003,2.173994779202563
2020,17,0.004400000000000048,2.0626537033637034
2020,18,0.6768000000000001,0.9076368767298957
2020,19,-0.4168,1.4033574740599775
2020,20,0.6436,1.7073767305430867
2020,21,0.74525,0.7623469791811773
2020,22,0.9725999999999999,1.0640424333643843
2020,23,-0.9323999999999998,2.8571463560692862
2020,24,0.38220000000000004,1.0425098081073387
