Year,Week_Number,mean_return,volatility
2018,00,0.2915,0.7508792623762269
2018,01,0.035199999999999995,0.3346531039748474
2018,02,0.54275,0.2943584832592168
2018,03,0.5756,0.570939839212504
2018,04,-0.7497999999999999,0.8681717572001522
2018,05,-1.5757999999999999,1.8789580091103684
2018,06,0.8465999999999999,0.8775299425090861
2018,07,-0.51725,1.5873399919361955
2018,08,-0.14340000000000003,0.7562706526105585
2018,09,0.5,0.6580596477523902
2018,10,-0.43879999999999997,0.3799239397563675
2018,11,-0.5252000000000001,0.2944600142633971
2018,12,0.64375,0.34370178449735556
2018,13,0.2354,1.6418175294471673
2018,14,0.26820000000000005,0.5029847910225518
2018,15,-0.3458,0.7554986432813762
2018,16,-0.18839999999999998,1.4914339744018172
2018,17,-0.4384,1.0150430040151008
2018,18,-0.1024,0.6633398827147362
2018,19,0.023199999999999988,1.0169720743461936
2018,20,0.1046,0.38141683235012064
2018,21,0.42300000000000004,0.577131411956295
2018,22,0.3848,0.8365734875072243
2018,23,0.257,0.7539323577085679
2018,24,-0.39580000000000004,0.6707627747572162
2018,25,0.28300000000000003,0.7966884585583
2018,26,0.444,0.7952802441068598
2018,27,0.04699999999999999,0.7388382772975423
2018,28,0.24180000000000001,0.5669432952244872
2018,29,0.4109999999999999,0.9534597526901699
2018,30,0.1786,0.7016457795782712
2018,31,-0.23220000000000002,0.4828516335273186
2018,32,0.22559999999999997,0.499256747575834
2018,33,-0.41859999999999997,0.5146676597572456
2018,34,-0.46799999999999997,0.4571799426921527
2018,35,0.64025,0.6350282802101547
2018,36,0.288,0.35306019316824716
2018,37,0.2584,0.880610753965678
2018,38,-0.16599999999999998,0.7402229393905596
2018,39,-0.1324,0.7393735862201192
2018,40,-0.5208,1.4079352612957743
2018,41,0.7306,0.8237504476478298
2018,42,-0.17419999999999997,0.9539537200514498
2018,43,0.8943999999999999,1.046596531620471
2018,44,0.6916,0.5500325444916874
2018,45,0.197,0.43034172467935294
2018,46,-0.5700000000000001,1.4433911458783444
2018,47,0.7232,1.4034525998408354
2018,48,-0.655,0.5244044240850758
2018,49,0.1028,0.5376399352726693
2018,50,-0.7252000000000001,0.8493687067463694
2018,51,-0.17249999999999993,2.4458338046563997
2018,52,0.318,0.0
2019,00,0.16299999999999995,1.591386502393432
2019,01,-0.08859999999999998,1.4222377789947784
2019,02,0.1182,1.0254446352680382
2019,03,-0.12224999999999997,1.0357018151958604
2019,04,0.5568,0.6178488488295499
2019,05,0.32720000000000005,0.46680049271610674
2019,06,-1.7236,3.7753540628661577
2019,07,0.029000000000000026,1.3686156022297375
2019,08,0.046,0.7026524745562347
2019,09,-0.238,0.5647579127378385
2019,10,0.3876,1.5187930405423908
2019,11,0.2772,0.4006154016010867
2019,12,0.4032,0.583028901513467
2019,13,-0.1656,0.5428708870440558
2019,14,0.11599999999999999,0.1220245876862528
2019,15,0.394,0.35240412407726823
2019,16,0.33,0.9338203788737961
2019,17,0.19320000000000004,0.8977623293500345
2019,18,-0.21359999999999996,1.0880920457387784
2019,19,0.41899999999999993,0.9000388880487332
2019,20,0.17200000000000004,1.1919979026827185
2019,21,-0.23825000000000002,1.098447502917944
2019,22,0.9452,0.787805623234564
2019,23,0.086,0.37187699579296374
2019,24,0.0962,0.8592736467505564
2019,25,-0.2434,0.6974810391688078
2019,26,0.58025,0.5861975633976425
2019,27,0.005199999999999999,0.516862360788634
2019,28,-0.2804,0.5497270231669533
2019,29,1.0963999999999998,3.0835107102132793
2019,30,-0.6847999999999999,0.9701596260409933
2019,31,0.4196,1.269926297073968
2019,32,0.3724,1.056594198356209
2019,33,-0.2426,1.0890354906980764
2019,34,0.48100000000000004,0.6499596141299858
2019,35,0.08925000000000001,0.8776192701469888
2019,36,-0.2056,0.8683618485401118
2019,37,-0.1272,0.7129131784446125
2019,38,0.1486,0.31745125610083824
2019,39,0.09679999999999996,1.7431307179899045
2019,40,-0.4572,0.6165336162773284
2019,41,0.5516,0.7641356554958026
2019,42,-0.3736,1.1658978514432559
2019,43,0.05840000000000001,0.857580491849016
2019,44,-0.6317999999999999,0.9097333125702278
2019,45,0.17800000000000002,0.7782599180222505
2019,46,0.137,0.4210368154924222
2019,47,0.36225,0.6642280607341629
2019,48,0.3798,0.43588610897802194
2019,49,0.001200000000000001,0.5533725688900742
2019,50,0.2042,0.8187506946561939
2019,51,0.1735,0.4849250801240675
2019,52,0.0,0.20506096654409878
2020,00,-0.5980000000000001,0.07353910524340097
2020,01,0.3088,0.9467833437487163
2020,02,0.5044,0.6329007031122654
2020,03,0.32425000000000004,0.42761694306937836
2020,04,0.2596,1.7025070631277863
2020,05,0.2692,0.15930379782039097
2020,06,0.2566,0.5401840427113707
2020,07,0.07625000000000003,0.6081608202879674
2020,08,-2.3028,1.5848956432522616
2020,09,0.7174,4.020264394290505
2020,10,-2.2754000000000003,5.882249850184876
2020,11,-4.498600000000001,5.040557538606221
2020,12,2.3348,4.594242668819312
2020,13,0.5413999999999999,4.171777954301978
2020,14,2.8555,2.799942916084779
2020,15,-0.33919999999999995,3.45416816324857
2020,16,-1.1061999999999999,1.8019291606497747
2020,17,0.09159999999999997,2.041479194113915
2020,18,0.23720000000000008,1.9167930769908368
2020,19,-1.2666,0.5411592187147883
2020,20,0.8298,2.492093838522137
2020,21,0.9105000000000001,1.3547616026445393
2020,22,1.0176,1.2052762338982712
2020,23,-1.2452,3.13716610972387
2020,24,0.192,1.4492637786131275
2020,25,-1.0792,1.4878407844927495
2020,26,0.74525,0.7530260619659853
